Day Index,Quantity
01-12-2021,14
02-12-2021,10
03-12-2021,13
04-12-2021,22
05-12-2021,33
06-12-2021,12
07-12-2021,29
08-12-2021,24
09-12-2021,23
10-12-2021,38
11-12-2021,20
12-12-2021,21
13-12-2021,18
14-12-2021,15
15-12-2021,15
16-12-2021,11
17-12-2021,17
18-12-2021,14
19-12-2021,11
20-12-2021,18
21-12-2021,13
22-12-2021,6
23-12-2021,9
24-12-2021,8
25-12-2021,12
26-12-2021,7
27-12-2021,11
28-12-2021,13
29-12-2021,12
30-12-2021,11
31-12-2021,15
01-01-2022,12
02-01-2022,26
03-01-2022,28
04-01-2022,14
05-01-2022,23
06-01-2022,18
07-01-2022,23
08-01-2022,16
09-01-2022,19
10-01-2022,18
11-01-2022,18
12-01-2022,21
13-01-2022,15
14-01-2022,16
15-01-2022,11
16-01-2022,16
17-01-2022,19
18-01-2022,16
19-01-2022,16
20-01-2022,18
21-01-2022,24
22-01-2022,13
23-01-2022,14
24-01-2022,26
25-01-2022,12
26-01-2022,18
27-01-2022,12
28-01-2022,13
29-01-2022,14
30-01-2022,9
31-01-2022,15
01-02-2022,25
02-02-2022,13
03-02-2022,21
04-02-2022,23
05-02-2022,15
06-02-2022,12
07-02-2022,22
08-02-2022,17
09-02-2022,20
10-02-2022,23
11-02-2022,16
12-02-2022,15
13-02-2022,27
14-02-2022,19
15-02-2022,17
16-02-2022,22
17-02-2022,38
18-02-2022,28
19-02-2022,23
20-02-2022,15
21-02-2022,26
22-02-2022,18
23-02-2022,21
24-02-2022,5
25-02-2022,12
26-02-2022,19
27-02-2022,21
28-02-2022,21
01-03-2022,20
02-03-2022,17
03-03-2022,20
04-03-2022,17
05-03-2022,31
06-03-2022,23
07-03-2022,18
08-03-2022,20
09-03-2022,22
10-03-2022,16
11-03-2022,24
12-03-2022,27
13-03-2022,19
14-03-2022,13
15-03-2022,15
16-03-2022,17
17-03-2022,15
18-03-2022,19
19-03-2022,25
20-03-2022,22
21-03-2022,25
22-03-2022,7
23-03-2022,15
24-03-2022,32
25-03-2022,24
26-03-2022,24
27-03-2022,21
28-03-2022,21
29-03-2022,18
30-03-2022,19
31-03-2022,14
01-04-2022,9
02-04-2022,21
03-04-2022,24
04-04-2022,17
05-04-2022,21
06-04-2022,20
07-04-2022,21
08-04-2022,17
09-04-2022,24
10-04-2022,22
11-04-2022,24
12-04-2022,19
13-04-2022,20
14-04-2022,20
15-04-2022,21
16-04-2022,11
17-04-2022,26
18-04-2022,31
19-04-2022,16
20-04-2022,16
21-04-2022,30
22-04-2022,36
23-04-2022,16
24-04-2022,17
25-04-2022,23
26-04-2022,17
27-04-2022,14
28-04-2022,12
29-04-2022,11
30-04-2022,23
01-05-2022,9
02-05-2022,19
03-05-2022,25
04-05-2022,16
05-05-2022,18
06-05-2022,14
07-05-2022,21
08-05-2022,14
09-05-2022,15
10-05-2022,13
11-05-2022,15
12-05-2022,14
13-05-2022,11
14-05-2022,19
15-05-2022,12
16-05-2022,12
17-05-2022,11
18-05-2022,11
19-05-2022,20
20-05-2022,13
21-05-2022,10
22-05-2022,20
23-05-2022,14
24-05-2022,19
25-05-2022,10
26-05-2022,20
27-05-2022,13
28-05-2022,14
29-05-2022,19
30-05-2022,16
31-05-2022,14
01-06-2022,18
02-06-2022,15
03-06-2022,15
04-06-2022,19
05-06-2022,20
06-06-2022,11
07-06-2022,15
08-06-2022,13
09-06-2022,11
10-06-2022,19
11-06-2022,20
12-06-2022,14
13-06-2022,22
14-06-2022,16
15-06-2022,9
16-06-2022,20
17-06-2022,15
18-06-2022,16
19-06-2022,10
20-06-2022,15
21-06-2022,7
22-06-2022,17
23-06-2022,13
24-06-2022,15
25-06-2022,16
26-06-2022,13
27-06-2022,16
28-06-2022,13
29-06-2022,16
30-06-2022,8
