Day Index,Clicks
01-12-2021,445
02-12-2021,433
03-12-2021,424
04-12-2021,427
05-12-2021,451
06-12-2021,429
07-12-2021,444
08-12-2021,431
09-12-2021,456
10-12-2021,391
11-12-2021,447
12-12-2021,347
13-12-2021,443
14-12-2021,427
15-12-2021,423
16-12-2021,404
17-12-2021,413
18-12-2021,370
19-12-2021,429
20-12-2021,383
21-12-2021,379
22-12-2021,350
23-12-2021,359
24-12-2021,339
25-12-2021,338
26-12-2021,398
27-12-2021,369
28-12-2021,381
29-12-2021,361
30-12-2021,356
31-12-2021,237
01-01-2022,332
02-01-2022,389
03-01-2022,411
04-01-2022,401
05-01-2022,361
06-01-2022,385
07-01-2022,397
08-01-2022,398
09-01-2022,401
10-01-2022,392
11-01-2022,398
12-01-2022,376
13-01-2022,369
14-01-2022,387
15-01-2022,399
16-01-2022,413
17-01-2022,425
18-01-2022,368
19-01-2022,390
20-01-2022,431
21-01-2022,434
22-01-2022,385
23-01-2022,444
24-01-2022,425
25-01-2022,384
26-01-2022,369
27-01-2022,375
28-01-2022,407
29-01-2022,401
30-01-2022,424
31-01-2022,443
01-02-2022,460
02-02-2022,444
03-02-2022,453
04-02-2022,483
05-02-2022,389
06-02-2022,404
07-02-2022,464
08-02-2022,438
09-02-2022,442
10-02-2022,459
11-02-2022,463
12-02-2022,521
13-02-2022,513
14-02-2022,510
15-02-2022,502
16-02-2022,525
17-02-2022,505
18-02-2022,558
19-02-2022,614
20-02-2022,603
21-02-2022,726
22-02-2022,607
23-02-2022,518
24-02-2022,599
25-02-2022,531
26-02-2022,598
27-02-2022,516
28-02-2022,527
01-03-2022,505
02-03-2022,510
03-03-2022,459
04-03-2022,528
05-03-2022,536
06-03-2022,548
07-03-2022,468
08-03-2022,495
09-03-2022,526
10-03-2022,475
11-03-2022,517
12-03-2022,507
13-03-2022,534
14-03-2022,552
15-03-2022,514
16-03-2022,471
17-03-2022,472
18-03-2022,372
19-03-2022,480
20-03-2022,502
21-03-2022,532
22-03-2022,522
23-03-2022,483
24-03-2022,547
25-03-2022,470
26-03-2022,502
27-03-2022,497
28-03-2022,486
29-03-2022,514
30-03-2022,431
31-03-2022,464
01-04-2022,545
02-04-2022,527
03-04-2022,501
04-04-2022,498
05-04-2022,456
06-04-2022,485
07-04-2022,464
08-04-2022,521
09-04-2022,492
10-04-2022,593
11-04-2022,578
12-04-2022,506
13-04-2022,506
14-04-2022,544
15-04-2022,557
16-04-2022,346
17-04-2022,573
18-04-2022,538
19-04-2022,547
20-04-2022,567
21-04-2022,556
22-04-2022,470
23-04-2022,446
24-04-2022,518
25-04-2022,305
26-04-2022,115
27-04-2022,154
28-04-2022,159
29-04-2022,131
30-04-2022,282
01-05-2022,274
02-05-2022,154
03-05-2022,133
04-05-2022,122
05-05-2022,238
06-05-2022,106
07-05-2022,78
08-05-2022,215
09-05-2022,181
10-05-2022,166
11-05-2022,221
12-05-2022,238
13-05-2022,177
14-05-2022,260
15-05-2022,129
16-05-2022,156
17-05-2022,109
18-05-2022,107
19-05-2022,114
20-05-2022,113
21-05-2022,113
22-05-2022,117
23-05-2022,124
24-05-2022,139
25-05-2022,121
26-05-2022,124
27-05-2022,109
28-05-2022,113
29-05-2022,120
30-05-2022,111
31-05-2022,84
01-06-2022,128
02-06-2022,121
03-06-2022,110
04-06-2022,115
05-06-2022,127
06-06-2022,124
07-06-2022,118
08-06-2022,120
09-06-2022,112
10-06-2022,114
11-06-2022,115
12-06-2022,112
13-06-2022,117
14-06-2022,130
15-06-2022,127
16-06-2022,136
17-06-2022,118
18-06-2022,128
19-06-2022,132
20-06-2022,125
21-06-2022,129
22-06-2022,119
23-06-2022,135
24-06-2022,118
25-06-2022,120
26-06-2022,114
27-06-2022,106
28-06-2022,109
29-06-2022,60
30-06-2022,65
